Date,Model,Category,Manufacturer,Model,Year,RAID (hours),Registration number,Serial number,Seller,Location,Description,Price
2020-05-28,210l,Single engine,Cessna,210l,1976,,N210RX,,Casey Electric llc,,,215000.0
2020-05-28,Pa-28-235 cherokee 235,Single engine,Piper,Pa-28-235 cherokee 235,1970,,N8527N,,"AircraftMerchants, LLC",,,84900.0
2020-05-28,"M20f ""executive"" turbo",Single engine,Mooney,"M20f ""executive"" turbo",1967,,N2928L,,"Skywagons.com, LLC",,,79500.0
2020-05-28,V35b turbo bonanza,Single engine,Beechcraft,V35b turbo bonanza,1966,,HBEFH,,"Aeromeccanica, SA",,,141154.0
2020-05-28,210,Single engine,Cessna,210,1966,,HBCSS,,"Aeromeccanica, SA",,,119438.0
2020-05-28,M20c,Single engine,Mooney,M20c,1963,,N6473U,,BonAir Brokerage/VA Aviation,,,61000.0
2020-05-28,205a super skylane,Single engine,Cessna,205a super skylane,1964,,N543JR,,"Skywagons.com, LLC",,,134500.0
2020-05-28,C33 debonair,Single engine,Beechcraft,C33 debonair,1965,,,,"Aeromeccanica, SA",,,152012.0
2020-05-28,V35 bonanza,Single engine,Beechcraft,V35 bonanza,1966,,N2093W,,Tim Glover,,,55000.0
2020-05-28,BC-12D,Single engine,Taylorcraft aeroplanes,BC-12D,1946,,N96045,,Kent Cook Aircraft,,,25000.0
2020-05-28,35 bonanza,Single engine,Beechcraft,35 bonanza,1947,,N3146V,,Lane Aviation,,,37500.0
2020-05-28,11,Single engine,Aeronca,11,1947,,N4098E,,Kent Cook Aircraft,,,35000.0
2020-05-28,415-cd,Single engine,Ercoupe,415-cd,1947,,N3948H,,AKC Aviation,,,27000.0
2020-05-28,Super cruiser,Single engine,Piper,Super cruiser,1947,,N2410M,,Central Virginia Aviation,,,34000.0
2020-05-28,195,Single engine,Cessna,195,1952,,N4427C,,Dan Jay Aircraft Sales,,,110000.0
2020-05-28,D35 bonanza,Single engine,Beechcraft,D35 bonanza,1953,,HBEGF,,"Aeromeccanica, SA",,,42346.0
2020-05-28,Bonanza - e35 - 225hp - very nice!,Single engine,Beechcraft,Bonanza - e35 - 225hp - very nice!,1954,,N3510B,,Sky Manor Aircraft Sales LLC,,,44900.0
2020-05-28,180 skywagon,Single engine,Cessna,180 skywagon,1954,,N2980C,,"Skywagons.com, LLC",,,87500.0
2020-05-28,Matrix,Single engine,Piper,Matrix,2008,700,N194ED,,Alexander Pichler,"Europe, Belgium","AIRFRAME
 Late December 2008 N registered Piper Malibu Matrix in good condition

Total time of 700h and 100h STOH on TIO-540-AE2A performed 04/2015

Both turbochargers replaced in 10/2015

3 blade Hartzell propeller with 700h SNEW and 100h SOH performed 04/2015

Avidyne Entegra EX5000 R8.1 PFD and MFD, dual G430W and much more

Equipped from factory with speed brakes and 6 seat oxygen and Intercom

Efficient performer burning 18GAL/h in 12.000ft flying 185KTAS

No airway fees with MTOW 1980kg/4358Ibs

First owner and owner pilot flown

No damage history and last annual/100h inspection completed 09/2019

All specifications subject to verification upon inspection, withdrawal from market without prior notice. 
 ENGINES
 One Lycoming TIO-540-AE2A dual turbo charger with 350hp and 700h SNEW in 12/2008 and 100h STOH in 04/2015 performed by Dachsel GmbH (Germany).

2000h engine TBO, may be operated on condition after reaching its TBO depending on local CAA regulations.

Three blade electrically de-iced Hartzell HC-I3YR-1E propeller installed with 700h SNEW in 12/2018 and 100h SOH in 04/2015.

2400h propeller TBO, may be operated on condition after reaching its TBO depending on local CAA regulations.",
2020-05-28,Malibu mirage,Single engine,Piper,Malibu mirage,2000,2400,FHIMB,,Alexander Pichler,"Europe, France","AIRFRAME
 French registered 2000 Piper Malibu Mirage in excellent condition

Total time of 2400h and 400h SFRM on TIO-540-AE2A performed 06/2018

Both turbochargers, wastegate incl. controllers overhauled in 06/2018

3 blade Hartzell HC-I3YR-1E propeller with 650h SOH in 09/2016

New paint and interior from 10/2016 in excellent condition

Garmin 530W/430W, EGPWS, TAS, DME, ADF, RA, WX, Stormscope and more

Equipped from factory with speed brakes, 6 seat oxygen and Intercom

Fourth owner, company owned and owner pilot flown

No damage history and last annual/100h inspection completed 11/2019

Immaculate maintenance history, turnkey solution, available immediately

Better pictures and video will be taken, once travel restrictions are relieved due COVID-19.

All specifications subject to verification upon inspection, withdrawal from market without prior notice. 
 ENGINES
 One Lycoming TIO-540-AE2A dual turbo charger with 350hp and 400h SFRM in 06/2018 performed by Lycoming Engines Inc. (USA).

2000h engine TBO, may be operated on condition after reaching its TBO depending on local CAA regulations.

Three blade electrically de-iced Hartzell HC-I3YR-1E propeller installed with 650h SOH in 09/2016.

2400h propeller TBO, may be operated on condition after reaching its TBO depending on local CAA regulations.",
2020-05-28,Sr22t-g6 gts,Single engine,Cirrus,Sr22t-g6 gts,2018,167,N811SB,,Lone Mountain Aircraft Sales,"North America Canada, United States - CO","AIRFRAME
 167 Flight Hours Since New
223 Hobbs Hours Since New
Spinner to Tail Warranty Good Through January 16, 2023
Always Hangared
No Damage History 
ENGINES
 Continental TSIO-550K 315hp at 2500rpm
Tanis Engine Pre-Heater


Prop:
Hartzell 3-Bladed Lightweight Composite Propeller",
